'1989-01-02', 635, 'Alice', 'Zimmerman'
'1989-01-04', 1827, 'Ariel', 'Zimmerman'
'1989-01-06', 1211, 'Brienne', 'Zimmerman'
'1989-01-08', 2023, 'Caitlyn', 'Zimmerman'
'1989-01-09', 933, 'Dennis', 'Zimmerman'
'1989-02-01', 1309, 'Earl', 'Zimmerman'
'1989-02-03', 1687, 'Francis', 'Zimmerman'
'1989-02-05', 1143, 'Gary', 'Zimmerman'
'1989-02-07', 1806, 'Horus', 'Zimmerman'
'1989-02-09', 319, 'Ian', 'Zimmerman'
'1989-03-01', 1283, 'Jack', 'Zimmerman'
'1989-03-03', 1959, 'Kingston', 'Zimmerman'
'1989-03-05', 1061, 'Lucas', 'Zimmerman'
'1989-03-06', 1675, 'Lily', 'Zimmerman'
'1989-03-08', 1195, 'Marsella', 'Zimmerman'
'1989-03-10', 631, 'Nadine', 'Zimmerman'
'1989-04-02', 1676, 'Olivia', 'Zimmerman'
'1989-04-04', 132, 'Priscilla', 'Zimmerman'
'1989-04-06', 1737, 'Rachel', 'Zimmerman'
'1989-04-08', 2033, 'Rochelle', 'Zimmerman'
'1989-04-10', 828, 'Sarah', 'Zimmerman'
'1989-05-01', 1063, 'Timothy', 'Zimmerman'
'1989-05-03', 2139, 'Ulrich', 'Zimmerman'
'1989-05-05', 331, 'Victor', 'Zimmerman'
'1989-05-07', 1452, 'Winston', 'Zimmerman'
'1989-05-09', 453, 'Zachary', 'Zimmerman'
'1989-06-01', 981, 'Aaron', 'Zane'
'1989-06-02', 1124, 'Alice', 'Zane'
'1989-06-04', 1557, 'Ariel', 'Zane'
'1989-06-07', 1998, 'Carl', 'Zane'
'1989-06-09', 1113, 'Dennis', 'Zane'
'1989-06-10', 784, 'Deidre', 'Zane'
'1989-07-02', 1141, 'Elaine', 'Zane'
'1989-07-03', 2155, 'Francis', 'Zane'
'1989-07-04', 1142, 'Fawn', 'Zane'
'1989-07-05', 2079, 'Gary', 'Zane'
'1989-07-07', 1408, 'Horus', 'Zane'
'1989-07-09', 1400, 'Ian', 'Zane'
'1989-08-01', 1266, 'Jack', 'Zane'
'1989-08-03', 1132, 'Kingston', 'Zane'
'1989-08-05', 1152, 'Lucas', 'Zane'
'1989-08-07', 376, 'Mark', 'Zane'
'1989-08-09', 663, 'Nick', 'Zane'
'1989-09-01', 1544, 'Oren', 'Zane'
'1989-07-10', 551, 'Isabelle', 'Zane'
'1989-09-04', 645, 'Priscilla', 'Zane'
'1989-09-06', 1871, 'Rachel', 'Zane'
'1989-09-08', 1138, 'Rochelle', 'Zane'
'1989-09-10', 1136, 'Sarah', 'Zane'
'1989-10-02', 2073, 'Tania', 'Zane'
'1989-10-04', 632, 'Ulsana', 'Zane'
'1989-10-06', 246, 'Valerie', 'Zane'
'1989-04-05', 1494, 'Randy', 'Zimmerman'
'1989-10-10', 1684, 'Zariah', 'Zane'
'1990-01-02', 275, 'Alice', 'Yates'
'1990-01-04', 1263, 'Ariel', 'Yates'
'1990-01-06', 1162, 'Brienne', 'Yates'
'1990-01-08', 2029, 'Caitlyn', 'Yates'
'1990-01-10', 2063, 'Deidre', 'Yates'
'1990-02-01', 1101, 'Earl', 'Yates'
'1990-02-02', 1531, 'Elaine', 'Yates'
'1990-02-04', 251, 'Fawn', 'Yates'
'1990-02-07', 468, 'Horus', 'Yates'
'1990-02-10', 1803, 'Isabelle', 'Yates'
'1989-07-01', 1153, 'Earl', 'Zane'
'1990-03-02', 1802, 'Jennifer', 'Yates'
'1990-03-03', 1434, 'Kingston', 'Yates'
'1990-03-05', 363, 'Lucas', 'Yates'
'1990-01-07', 1144, 'Carl', 'Yates'
'1990-03-07', 1805, 'Mark', 'Yates'
'1990-03-09', 355, 'Nick', 'Yates'
'1990-04-02', 1123, 'Olivia', 'Yates'
'1990-04-03', 1966, 'Patrick', 'Yates'
'1990-04-05', 1623, 'Randy', 'Yates'
'1990-04-01', 1489, 'Oren', 'Yates'
'1990-04-07', 395, 'Ronald', 'Yates'
'1990-04-09', 1467, 'Stanley', 'Yates'
'1990-04-10', 1464, 'Sarah', 'Yates'
'1990-05-02', 1412, 'Tania', 'Yates'
'1990-05-04', 897, 'Ulsana', 'Yates'
'1990-05-06', 1255, 'Valerie', 'Yates'
'1990-05-08', 589, 'Whitney', 'Yates'
'1989-02-02', 2126, 'Elaine', 'Zimmerman'
'1990-06-01', 1681, 'Aaron', 'Walton'
'1990-06-03', 831, 'Alex', 'Walton'
'1990-06-05', 1321, 'Bryan', 'Walton'
'1990-06-07', 1701, 'Carl', 'Walton'
'1990-06-08', 1915, 'Caitlyn', 'Walton'
'1989-03-07', 249, 'Mark', 'Zimmerman'
'1990-06-09', 1493, 'Dennis', 'Walton'
'1990-07-01', 373, 'Earl', 'Walton'
'1990-07-03', 719, 'Francis', 'Walton'
'1990-07-05', 926, 'Gary', 'Walton'
'1990-07-08', 1677, 'Holly', 'Walton'
'1990-07-10', 762, 'Isabelle', 'Walton'
'1990-08-03', 2019, 'Kingston', 'Walton'
'1990-08-04', 587, 'Kelly', 'Walton'
'1990-08-05', 1008, 'Lucas', 'Walton'
'1990-08-07', 678, 'Mark', 'Walton'
'1990-08-09', 1351, 'Nick', 'Walton'
'1990-09-01', 1504, 'Oren', 'Walton'
'1989-07-06', 1231, 'Genevieve', 'Zane'
'1990-09-04', 1514, 'Priscilla', 'Walton'
'1990-09-06', 1822, 'Rachel', 'Walton'
'1990-09-08', 185, 'Rochelle', 'Walton'
'1990-10-02', 1622, 'Tania', 'Walton'
'1990-10-04', 669, 'Ulsana', 'Walton'
'1990-10-06', 1549, 'Valerie', 'Walton'
'1990-10-07', 2027, 'Winston', 'Walton'
'1990-10-09', 1581, 'Zachary', 'Walton'
'1991-01-01', 379, 'Aaron', 'Williams'
'1991-01-04', 204, 'Ariel', 'Williams'
'1991-01-06', 321, 'Brienne', 'Williams'
'1991-01-07', 749, 'Carl', 'Williams'
'1991-01-09', 813, 'Dennis', 'Williams'
'1990-04-08', 1258, 'Rochelle', 'Yates'
'1991-02-01', 1967, 'Earl', 'Williams'
'1989-06-03', 985, 'Alex', 'Zane'
'1991-02-03', 158, 'Francis', 'Williams'
'1991-02-05', 191, 'Gary', 'Williams'
'1991-02-06', 162, 'Genevieve', 'Williams'
'1991-02-07', 127, 'Horus', 'Williams'
'1991-03-01', 148, 'Jack', 'Williams'
'1991-03-04', 221, 'Kelly', 'Williams'
'1991-03-02', 233, 'Jennifer', 'Williams'
'1989-05-10', 235, 'Zariah', 'Zimmerman'
'1990-09-09', 203, 'Stanley', 'Walton'
'1990-08-10', 325, 'Nadine', 'Walton'
'1991-03-09', 375, 'Nick', 'Williams'
'1990-03-08', 357, 'Marsella', 'Yates'
'1991-04-01', 374, 'Oren', 'Williams'
'1991-04-02', 428, 'Olivia', 'Williams'
'1991-04-03', 448, 'Patrick', 'Williams'
'1991-04-05', 497, 'Randy', 'Williams'
'1991-01-02', 407, 'Alice', 'Williams'
'1991-04-08', 513, 'Rochelle', 'Williams'
'1991-04-10', 515, 'Sarah', 'Williams'
'1991-05-01', 519, 'Timothy', 'Williams'
'1991-05-02', 512, 'Tania', 'Williams'
'1991-05-05', 657, 'Victor', 'Williams'
'1991-05-08', 636, 'Whitney', 'Williams'
'1991-06-01', 721, 'Aaron', 'Xavier'
'1991-06-03', 763, 'Alex', 'Xavier'
'1991-06-05', 765, 'Bryan', 'Xavier'
'1991-06-07', 734, 'Carl', 'Xavier'
'1991-06-08', 783, 'Caitlyn', 'Xavier'
'1991-06-10', 898, 'Deidre', 'Xavier'
'1991-07-02', 849, 'Elaine', 'Xavier'
'1991-07-04', 889, 'Fawn', 'Xavier'
'1991-07-06', 911, 'Genevieve', 'Xavier'
'1991-07-08', 919, 'Holly', 'Xavier'
'1990-07-06', 923, 'Genevieve', 'Walton'
'1991-07-10', 952, 'Isabelle', 'Xavier'
'1991-08-01', 939, 'Jack', 'Xavier'
'1989-01-10', 901, 'Deidre', 'Zimmerman'
'1991-08-02', 914, 'Jennifer', 'Xavier'
'1991-08-03', 1021, 'Kingston', 'Xavier'
'1991-08-05', 1023, 'Lucas', 'Xavier'
'1991-08-06', 1031, 'Lily', 'Xavier'
'1991-08-07', 1041, 'Mark', 'Xavier'
'1991-08-09', 1151, 'Nick', 'Xavier'
'1991-09-01', 1183, 'Oren', 'Xavier'
'1991-09-02', 1243, 'Olivia', 'Xavier'
'1991-09-04', 1203, 'Priscilla', 'Xavier'
'1991-09-06', 1241, 'Rachel', 'Xavier'
'1991-09-08', 1269, 'Rochelle', 'Xavier'
'1991-09-10', 1317, 'Sarah', 'Xavier'
'1991-10-02', 1364, 'Tania', 'Xavier'
'1991-10-03', 1377, 'Ulrich', 'Xavier'
'1991-10-01', 1385, 'Timothy', 'Xavier'
'1991-10-05', 1325, 'Victor', 'Xavier'
'1991-10-07', 1344, 'Winston', 'Xavier'
'1991-10-09', 1444, 'Zachary', 'Xavier'
'1992-01-02', 1535, 'Alice', 'Valadine'
'1992-01-03', 1525, 'Alex', 'Valadine'
'1992-01-04', 1513, 'Ariel', 'Valadine'
'1992-01-06', 1633, 'Brienne', 'Valadine'
'1989-03-02', 1663, 'Jennifer', 'Zimmerman'
'1992-01-09', 1679, 'Dennis', 'Valadine'
'1992-01-10', 1621, 'Deidre', 'Valadine'
'1992-02-01', 1611, 'Earl', 'Valadine'
'1992-02-03', 1781, 'Francis', 'Valadine'
'1992-02-05', 1785, 'Gary', 'Valadine'
'1992-02-07', 1764, 'Horus', 'Valadine'
'1992-02-09', 1756, 'Ian', 'Valadine'
'1992-02-10', 1832, 'Isabelle', 'Valadine'
'1992-03-03', 1841, 'Kingston', 'Valadine'
'1989-07-08', 1823, 'Holly', 'Zane'
'1992-03-05', 1834, 'Lucas', 'Valadine'
'1992-03-07', 1975, 'Mark', 'Valadine'
'1990-06-10', 1954, 'Deidre', 'Walton'
'1992-04-01', 2026, 'Oren', 'Valadine'
'1992-04-02', 2071, 'Olivia', 'Valadine'
'1991-02-02', 2134, 'Elaine', 'Williams'
'1992-04-03', 2113, 'Patrick', 'Valadine'
'1992-04-04', 2156, 'Priscilla', 'Valadine'
'1992-04-06', 2115, 'Rachel', 'Valadine'
'1992-04-08', 138, 'Rochelle', 'Valadine'
'1992-04-10', 182, 'Sarah', 'Valadine'
'1992-05-02', 147, 'Tania', 'Valadine'
'1992-05-03', 105, 'Ulrich', 'Valadine'
'1992-05-04', 155, 'Ulsana', 'Valadine'
'1992-05-05', 101, 'Victor', 'Valadine'
'1989-01-07', 111, 'Carl', 'Zimmerman'
'1992-05-07', 237, 'Winston', 'Valadine'
'1992-05-08', 238, 'Whitney', 'Valadine'
'1992-05-10', 269, 'Zariah', 'Valadine'
'1991-03-06', 212, 'Lily', 'Williams'
'1992-06-01', 397, 'Aaron', 'Ursa'
'1992-06-03', 354, 'Alex', 'Ursa'
